ID_NODO_ORIGEN;ID_NODO_DESTINO;COORDENADA_X_x;COORDENADA_Y_x;COORDENADA_X_y;COORDENADA_Y_y
514;355;2773;26.0;22.0;20.0;22.0
515;356;353;47.0;34.0;47.0;30.0
516;356;379;47.0;34.0;46.0;33.0
517;356;2280;47.0;34.0;41.0;34.0
518;356;2932;47.0;34.0;47.0;37.0
519;357;343;56.0;20.0;40.0;20.0
520;357;412;56.0;20.0;35.0;20.0
521;357;714;56.0;20.0;56.0;22.0
522;357;2435;56.0;20.0;56.0;27.0
523;360;238;48.0;29.0;48.0;23.0
524;360;300;48.0;29.0;40.0;29.0
525;360;606;48.0;29.0;50.0;29.0
526;360;2271;48.0;29.0;48.0;34.0
527;360;2793;48.0;29.0;48.0;24.0
528;362;374;49.0;60.0;64.0;60.0
529;362;393;49.0;60.0;47.0;62.0
530;362;362;49.0;60.0;49.0;60.0
531;362;2632;49.0;60.0;46.0;60.0
532;362;2747;49.0;60.0;48.0;59.0
533;362;3005;49.0;60.0;49.0;63.0
534;362;3372;49.0;60.0;48.0;60.0
535;362;3461;49.0;60.0;49.0;57.0
536;362;3690;49.0;60.0;51.0;60.0
537;362;3742;49.0;60.0;47.0;60.0
538;362;3792;49.0;60.0;49.0;58.0
539;369;314;46.0;79.0;46.0;58.0
540;369;404;46.0;79.0;47.0;80.0
541;369;85;46.0;79.0;43.0;79.0
542;369;2456;46.0;79.0;46.0;74.0
543;374;303;64.0;60.0;64.0;49.0
544;374;362;64.0;60.0;49.0;60.0
545;374;636;64.0;60.0;66.0;60.0
546;374;2457;64.0;60.0;64.0;59.0
547;379;314;46.0;33.0;46.0;58.0
548;379;356;46.0;33.0;47.0;34.0
549;379;2319;46.0;33.0;39.0;33.0
550;379;2447;46.0;33.0;46.0;40.0
551;379;2546;46.0;33.0;46.0;34.0
552;380;340;67.0;47.0;67.0;71.0
553;380;478;67.0;47.0;66.0;45.0
554;380;2202;67.0;47.0;60.0;47.0
555;380;2248;67.0;47.0;67.0;50.0
556;380;2585;67.0;47.0;67.0;52.0
557;393;362;47.0;62.0;49.0;60.0
558;393;404;47.0;62.0;47.0;80.0
559;393;2206;47.0;62.0;47.0;58.0
560;393;393;47.0;62.0;47.0;62.0
561;393;2273;47.0;62.0;47.0;65.0
562;393;3156;47.0;62.0;48.0;63.0
563;393;3618;47.0;62.0;47.0;66.0
564;393;3742;47.0;62.0;47.0;60.0
565;393;4117;47.0;62.0;48.0;62.0
566;393;4199;47.0;62.0;46.0;63.0
567;398;426;59.0;43.0;35.0;43.0
568;398;479;59.0;43.0;55.0;43.0
569;398;818;59.0;43.0;56.0;43.0
570;398;2712;59.0;43.0;59.0;47.0
571;404;369;47.0;80.0;46.0;79.0
572;404;393;47.0;80.0;47.0;62.0
573;404;1149;47.0;80.0;47.0;81.0
574;404;2518;47.0;80.0;54.0;80.0
575;404;2582;47.0;80.0;47.0;85.0
576;412;357;35.0;20.0;56.0;20.0
577;412;426;35.0;20.0;35.0;43.0
578;412;110;35.0;20.0;35.0;23.0
579;412;2363;35.0;20.0;36.0;20.0
580;413;428;79.0;49.0;93.0;49.0
581;413;500;79.0;49.0;79.0;45.0
582;413;2308;79.0;49.0;72.0;49.0
583;413;2467;79.0;49.0;79.0;50.0
584;414;590;92.0;46.0;70.0;46.0
585;414;627;92.0;46.0;74.0;46.0
586;414;2421;92.0;46.0;97.0;46.0
587;414;2564;92.0;46.0;95.0;46.0
588;424;618;48.0;1.0;48.0;11.0
589;424;666;48.0;1.0;64.0;1.0
590;424;3614;48.0;1.0;48.0;-2.0
591;424;3920;48.0;1.0;54.0;1.0
592;426;398;35.0;43.0;59.0;43.0
593;426;412;35.0;43.0;35.0;20.0
594;426;337;35.0;43.0;34.0;43.0
595;426;3098;35.0;43.0;30.0;43.0
596;428;253;93.0;49.0;94.0;51.0
597;428;413;93.0;49.0;79.0;49.0
598;428;786;93.0;49.0;93.0;47.0
599;428;2463;93.0;49.0;93.0;46.0
600;435;269;68.0;61.0;85.0;61.0
601;435;556;68.0;61.0;70.0;63.0
602;435;2718;68.0;61.0;68.0;59.0
603;435;3141;68.0;61.0;62.0;61.0
604;435;3133;68.0;61.0;66.0;61.0
605;438;631;23.0;58.0;40.0;58.0
606;438;672;23.0;58.0;25.0;57.0
607;438;438;23.0;58.0;23.0;58.0
608;438;2794;23.0;58.0;22.0;59.0
609;438;3283;23.0;58.0;23.0;54.0
610;438;3576;23.0;58.0;25.0;58.0
611;439;589;81.0;52.0;64.0;52.0
612;439;594;81.0;52.0;75.0;52.0
613;439;724;81.0;52.0;81.0;47.0
614;439;3048;81.0;52.0;81.0;56.0
615;442;349;36.0;84.0;27.0;84.0
